season;team;offense_completion_percentage;offense_total_yards_gained_pass;offense_total_yards_gained_run;offense_ave_yards_gained_pass;offense_ave_yards_gained_run;offense_total_air_yards;offense_ave_air_yards;offense_total_yac;offense_ave_yac;offense_n_plays_pass;offense_n_plays_run;offense_n_interceptions;offense_n_fumbles_lost_pass;offense_n_fumbles_lost_run;offense_total_epa_pass;offense_total_epa_run;offense_ave_epa_pass;offense_ave_epa_run;offense_total_wpa_pass;offense_total_wpa_run;offense_ave_wpa_pass;offense_ave_wpa_run;offense_success_rate_pass;offense_success_rate_run;defense_completion_percentage;defense_total_yards_gained_pass;defense_total_yards_gained_run;defense_ave_yards_gained_pass;defense_ave_yards_gained_run;defense_total_air_yards;defense_ave_air_yards;defense_total_yac;defense_ave_yac;defense_n_plays_pass;defense_n_plays_run;defense_n_interceptions;defense_n_fumbles_lost_pass;defense_n_fumbles_lost_run;defense_total_epa_pass;defense_total_epa_run;defense_ave_epa_pass;defense_ave_epa_run;defense_total_wpa_pass;defense_total_wpa_run;defense_ave_wpa_pass;defense_ave_wpa_run;defense_success_rate_pass;defense_success_rate_run;points_scored;points_allowed;wins;losses;ties;score_differential
1999;DET;0,525203252;3639;1214;5,917073171;3,549707602;0;NA;136;6.181818181818182;615;342;14;2;4;-5,34247907;-58,21264974;-0,008686958;-0,170212426;-0,546494869;-2,067207695;-0,00088861;-0,006044467;0,409756098;0,333333333;0,570967742;3654;1538;5,893548387;4,068783069;0;NA;173;6.919999999999999;620;378;16;8;7;-5,649186365;-64,85071194;-0,009111591;-0,17156273;-0,412967628;-1,523910094;-0,000666077;-0,004031508;0,435483871;0,35978836;322;323;8;8;0;-1
1999;GB;0,538704581;3892;1486;6,14849921;3,941644562;0;NA;-1;-1;633;377;23;7;5;1,700750479;-38,00615597;0,00268681;-0,100812085;0,87063808;-1,161353683;0,001375416;-0,003080514;0,412322275;0,392572944;0,536412078;3456;1781;6,138543517;3,87173913;0;NA;0;NA;563;460;25;2;8;19,88796555;-57,93773333;0,035324983;-0,125951594;-0,533236917;-1,375958798;-0,000947135;-0,002991215;0,419182948;0,363043478;357;341;8;8;0;16
1999;IND;0,601083032;3980;1583;7,184115523;3,977386935;0;NA;0;0;554;398;17;6;5;83,24782717;-32,55320487;0,150266836;-0,081791972;1,494450027;-1,5406971;0,002697563;-0,003871098;0,451263538;0,35678392;0,54180602;3454;1708;5,775919732;4,302267003;0;NA;0;NA;598;397;9;6;5;11,93034635;-46,4486762;0,019950412;-0,116999184;-0,72678445;-1,600999029;-0,001215359;-0,004032743;0,439799331;0,40302267;423;333;13;3;0;90
1999;JAX;0,561403509;3501;2059;6,142105263;4,15959596;0;NA;8;8;570;495;10;3;3;66,73716197;-15,06709782;0,11708274;-0,030438581;0,776879684;-0,956517191;0,001362947;-0,001932358;0,464912281;0,393939394;0,501754386;2846;1432;4,992982456;3,901907357;0;NA;35;11.666666666666666;570;367;18;4;5;-65,99331136;-67,29147517;-0,115777739;-0,183355518;-2,633503252;-2,320135232;-0,004620181;-0,006321894;0,371929825;0,326975477;396;217;14;2;0;179
1999;KC;0,563218391;3210;2081;6,149425287;4,088408644;0;NA;0;0;522;509;13;4;4;38,30296635;-47,32521467;0,07337733;-0,092976846;0,237185271;-2,192001684;0,000454378;-0,004306487;0,446360153;0,333988212;0,512274959;3442;1563;5,633387889;3,888059701;0;NA;0;NA;611;402;25;7;10;-89,57530104;-67,60266553;-0,146604421;-0,168165835;-2,804604675;-2,030275132;-0,004590188;-0,005050436;0,404255319;0,350746269;390;322;9;7;0;68
1999;LA;0,612204724;3983;1945;7,840551181;5,025839793;0;NA;142;8.352941176470589;508;387;13;6;7;141,1240714;-9,375113349;0,27780329;-0,024225099;2,103191069;-0,57394072;0,00414014;-0,001483051;0,50984252;0,42377261;0,49750416;3329;1135;5,539101498;3,58044164;0;NA;67;6.090909090909091;601;317;25;5;1;-105,7172777;-59,72534801;-0,175902292;-0,188408038;-1,250434338;-1,344260406;-0,00208059;-0,004240569;0,386023295;0,299684543;526;242;13;3;0;284
1999;LAC;0,526570048;3224;1227;5,191626409;3,052238806;0;NA;0;NA;621;402;24;4;6;-67,30252959;-87,59173229;-0,108377664;-0,217889881;-2,18391748;-2,366437904;-0,003516775;-0,005886661;0,39452496;0,2960199;0,539655172;3566;1282;6,148275862;3,037914692;0;NA;0;NA;580;422;13;4;6;34,77770726;-82,51360928;0,059961564;-0,19552988;0,132806487;-3,345305448;0,000228977;-0,007927264;0,431034483;0,31042654;269;316;8;8;0;-47
1999;LV;0,538053097;3590;2057;6,353982301;4,321428571;0;NA;72;4.8;565;476;13;6;5;54,53343309;-11,93753651;0,096519351;-0,025078858;0,574149321;-0,829608608;0,001016193;-0,001742875;0,444247788;0,403361345;0,518324607;3262;1556;5,692844677;4,031088083;0;NA;66;3.473684210526316;573;386;19;6;6;-18,58187576;-48,16816519;-0,032429103;-0,124787993;-1,121472466;-0,895885838;-0,001957195;-0,002320948;0,403141361;0,352331606;390;329;8;8;0;61
1999;MIA;0,524350649;3407;1459;5,530844156;3,346330275;0;NA;0;NA;616;436;21;8;3;-66,24149138;-64,55002761;-0,107534889;-0,148050522;-1,844787933;-1,996884922;-0,002994786;-0,004580011;0,409090909;0,325688073;0,495126706;2904;1454;5,660818713;3,681012658;0;NA;9;9;513;395;18;4;3;-45,09584392;-63,28548437;-0,087906128;-0,160216416;-2,238092885;-1,946675718;-0,004362754;-0,004928293;0,356725146;0,313924051;326;336;9;7;0;-10
1999;MIN;0,559352518;3908;1811;7,028776978;4,427872861;0;NA;155;6.739130434782608;556;409;21;8;6;38,98995073;-29,21523888;0,070125811;-0,071430902;0,892145502;-0,922000414;0,001604578;-0,00225428;0,451438849;0,430317848;0,576323988;3929;1593;6,119937695;3,914004914;0;NA;243;7.363636363636366;642;407;12;7;9;49,76561617;-68,60388372;0,077516536;-0,168559911;0,98552986;-1,92818019;0,001535093;-0,004737543;0,448598131;0,358722359;399;335;10;6;0;64
